id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,lat,lon,street,zip_code,city,planning_area_id
10210820,Bunte Kinderwelt,+493093666204,220,Kindertagesstätte,1296,Jugend- und Sozialwerk gGmbH,Sonstiger freier Träger,52.572559600000005,13.575969801034644,Schorfheidestraße 48 - 50,12689,Berlin,10100104
10210830,Kita Jahresuhr,+49309309633,100,Kindertagesstätte,1298,Jugendwerk Aufbau Ost JAO gGmbH,Sonstiger freier Träger,52.5653363,13.57548724532473,Rabensteiner Straße 20-21,12689,Berlin,10100104
10210870,Schwalbennest,+49309309800,205,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5488378,13.5625846,Jan-Petersen-Straße 27,12679,Berlin,10100209
10210920,Kita Kunterbunt,+49309399607,195,Kindertagesstätte,155,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,52.5583134,13.5583632,Liebensteiner Straße 20,12687,Berlin,10100206
10210940,Kita Walter-Felsenstein-Straße 39,+49309321022,203,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5547648,13.555123312928126,Walter-Felsenstein-Straße 39 / 41,12687,Berlin,10100208
10210950,Kita Raupe Nimmersatt,+49305410501,195,Kindertagesstätte,155,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,52.52456435,13.545086149035011,Marchwitzastraße 47-49,12681,Berlin,10100312
10210970,Kita Zwergenoase,+49309321140,200,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5568299,13.5726385,Oberweißbacher Straße 8,12687,Berlin,10100206
10210980,Kita Hummelburg,+49305414098,205,Kindertagesstätte,1233,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,Sonstiger freier Träger,52.5432133,13.5684556,Blumberger Damm 139,12685,Berlin,10100315
10210990,Kita Putzmunter,+49309328004,225,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,52.5525271,13.5704749,Blumberger Damm 227,12687,Berlin,10100209
10211010,Kita Rabennest,+49309309633,118,Kindertagesstätte,1298,Jugendwerk Aufbau Ost JAO gGmbH,Sonstiger freier Träger,52.5656135,13.577896,Berlin 12689,12689,Berlin,10100104
10211030,Kita Tausendfuß,+49305411555,195,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5370053,13.5554618,Salanderweg 27,12685,Berlin,10100314
10211060,Humanistisches Familienhaus Felix,+49309358035,160,Kindertagesstätte,1230,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",Sonstiger freier Träger,52.5471763,13.54824,Zühlsdorfer Straße 18,12679,Berlin,10100210
10211180,Kita BIP Kreativitätskita Schmetterlingswiesen,+493054714464,140,Kindertagesstätte,8454,BIP - Gesellschaft für Kreativitätspädagogik gGmbH,Sonstiger freier Träger,52.5020728,13.564501762224792,Rapsweißlingstraße 11,12683,Berlin,10300734
10211210,Kita Indianerzwerge,+493061746324,45,Kindertagesstätte,8273,Die Wuhlewanderer gGmbH,Sonstiger freier Träger,52.492973250000006,13.563325487318476,Heesestraße 12,12683,Berlin,10300734
10211220,Kleine Wunder,+493062189799,27,Kindertagesstätte,8770,ProGCHILD gGmbH,Sonstiger freier Träger,52.5556609,13.5610515,Mehrower Allee 22,12687,Berlin,10100208
10211230,Kita Murtzaner Ring,+4930549822700,65,Kindertagesstätte,155,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,52.5334447,13.5419471,Berlin 12681,12681,Berlin,10100312
