id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,street,zip_code,city,lat,lon,planning_area_id
4091210,Land in Sicht,+49308731846,12,Eltern-Initiativ-Kindertagesstätte,1103,Kinder - Land in Sicht e. V.,EKT,Babelsberger Straße 40,10715,Berlin,52.4846604,13.3354915,04501153
4091250,Kita der Schwedischen Victoriagemeinde,+493086495955,17,Kindertagesstätte,1288,Schwedische Victoriagemeinde e.V.,Sonstiger freier Träger,Landhausstraße 26,10717,Berlin,52.4876271,13.3290971,04501149
4091260,Kant-Kindergarten Lentzeallee 8 - 14,+4930+4930820078910,180,Kindertagesstätte,701,Kant-Kindergarten gemeinnützige GmbH,Sonstiger freier Träger,Lentzeallee 8,14195,Berlin,52.470221,13.2926147,04400832
4091280,Kita Kaubstraße,+493086207901,38,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,Kaubstraße 2-3,10713,Berlin,52.4882712,13.3110435,04501146
4091290,Kita Masorti I,+493086390142,51,Kindertagesstätte,1327,Masorti e.V. - Verein zur Förderung der jüdischen Bildung und des jüdischen Lebens,Sonstiger freier Träger,Eislebener Straße 4,10789,Berlin,52.5005855,13.3348393,04501042
4091300,Kindergarten Lila Prinzregent,+493086398078,20,Kindertagesstätte,7542,Lila Prinzen gGmbH,Sonstiger freier Träger,Prinzregentenstraße 90,10717,Berlin,52.4904015,13.3332873,04501152
4091320,Kita el caracol bilingualer Kindergarten spanisch/deutsch,+49308731502,45,Kindertagesstätte,649,el caracol bilingualer Kindergarten Spanisch / Deutsch gGmbH,Sonstiger freier Träger,Pfalzburger Straße 14,10719,Berlin,52.4963157,13.3222056,04501044
4091360,Montessori Kinderhaus im IBZ,+493081826715,30,Kindertagesstätte,8066,Montessori und Friends Education gGmbH,Sonstiger freier Träger,Wiesbadener Straße 18,14197,Berlin,52.4720254,13.3171822,04400835
4091370,ABC-Kindergarten Birgit Döbler,+49308913331,26,Kindertagesstätte,7927,ABC Kindergarten gUG (haftungsbeschränkt),Sonstiger freier Träger,Cicerostraße 63,10709,Berlin,52.4979572,13.3019959,04500938
4091430,Kita Verein für berufsorientierte Kinderbetreuung,+493081693900,75,Kindertagesstätte,1393,Verein f. berufsorient. Kinderbetreuung e.V.,Sonstiger freier Träger,Schlangenbader Straße 34,14197,Berlin,52.4711078,13.3077407,04400833
4091440,Kita Piccolino,,14,Kindertagesstätte,1399,Piccolino e.V.,Sonstiger freier Träger,Babelsberger Straße 40,10715,Berlin,52.4846604,13.3354915,04501153
4091450,Deutsch-Englischer Kindergarten Lilolei,+493086399043,30,Kindertagesstätte,1406,Deutsch-Englischer Kindergarten Lilolei e.V.,Sonstiger freier Träger,Pfalzburger Straße 62,10719,Berlin,52.4937565,13.3220336,04501044
4091460,Kita AUFGEPASST,+49308513723,30,Kindertagesstätte,1409,AUFGEPASST e.V.,Sonstiger freier Träger,Aachener Straße 45,10713,Berlin,52.4824682,13.3186283,04501148
4091490,Kajtek - Verein zur Förderung polnischer Sprache,+49302152600,26,Eltern-Initiativ-Kindertagesstätte,983,Verein zur Förderung Polnischer Sprache im Vorschulalter e. V.,EKT,Holsteinische Straße 54,10717,Berlin,52.4887838,13.3244289,04501149
4091500,Wallaby Kinderbetreuung,+493088626610,10,Kindertagesstätte,7869,kids in berlin kib gUG (haftungsbeschränkt),Sonstiger freier Träger,Johann-Georg-Straße 10,10709,Berlin,52.4971616,13.2976568,04500938
4091510,Kookaburra Kinderbetreuung,+493088623768,10,Kindertagesstätte,7869,kids in berlin kib gUG (haftungsbeschränkt),Sonstiger freier Träger,Westfälische Straße 57,10711,Berlin,52.4960144,13.2947501,04500938
4091530,Kita AUFGEPASST,+49308513723,69,Kindertagesstätte,1409,AUFGEPASST e.V.,Sonstiger freier Träger,Blissestraße 45,10713,Berlin,52.4809522,13.3205763,04501151
4091560,Kita Ourania,+493086395453,20,Kindertagesstätte,7507,Ourania e. V.,EKT,Holsteinische Straße 55,10717,Berlin,52.4885829,13.3244168,04501149
4091600,Kita L'oiseau bleu,+493089543737,25,Kindertagesstätte,1348,Verein zur Förderung der Kindertagesstätte l'oiseau bleu e.V.,Sonstiger freier Träger,Nestorstraße 20,10709,Berlin,52.4942767,13.299306195301384,04500938
4091620,Kindergarten Schlumpfenland 2,+493081852603,25,Kindertagesstätte,1100,Kindergarten Schlumpfenland e.V.,EKT,Koblenzer Straße 21,10715,Berlin,52.4802144,13.3218734,04501151
4091650,Waldkita Fila,+49301631391466,30,Waldkindergarten,7582,Fahrten-Ferne-Abenteuer gemeinnützige GmbH,Sonstiger freier Träger,Eichhörnchensteig 3,14193,Berlin,52.47268,13.2698924,04400729
4091660,Kita Rasselbande,+49302118737,30,Kindertagesstätte,7805,Kindergarten Rasselbande gGmbH,Sonstiger freier Träger,Nachodstraße 19,10779,Berlin,52.4950568,13.3333982,04501152
4091670,KangarooGarden - Internationaler Kindergarten,+493088710509,20,Kindertagesstätte,7869,kids in berlin kib gUG (haftungsbeschränkt),Sonstiger freier Träger,Johann-Georg-Straße 9,10709,Berlin,52.4969794,13.297884,04500938
4091680,Kita Raduga,+493086008472,31,Kindertagesstätte,7812,Kita Raduga Verein zur Förderung der Sprachen und Sinne e. V.,Sonstiger freier Träger,Fechnerstraße 18,10717,Berlin,52.4885921,13.3213488,04501147
4091690,Kita Mi Nido - Mein Nest,+493085606520,65,Kindertagesstätte,8038,Gemeinnütziger Kindergarten MI NIDO-Mein Nest gGmbH,Sonstiger freier Träger,Nestorstraße 7,10709,Berlin,52.4980166,13.2997936,04500938
4091730,Masorti II,+493086390142,36,Kindertagesstätte,1327,Masorti e.V. - Verein zur Förderung der jüdischen Bildung und des jüdischen Lebens,Sonstiger freier Träger,Eislebener Straße 4,10789,Berlin,52.5005855,13.3348393,04501042
4091740,Kita Raduga Pfalzburger Straße,+493086390360,25,Kindertagesstätte,7812,Kita Raduga Verein zur Förderung der Sprachen und Sinne e. V.,Sonstiger freier Träger,Pfalzburger Straße 40,10717,Berlin,52.4887468,13.321199,04501147
4091760,Kita Kleine Küken,+493015773160935,23,Kindertagesstätte,8127,Kinderladen Kleine Küken gGmbH,Sonstiger freier Träger,Eisenzahnstraße 62,10709,Berlin,52.4980823,13.305553,04500938
4091780,Kita Ourania,+493091485303,15,Kindertagesstätte,7507,Ourania e. V.,EKT,Tübinger Straße 9,10715,Berlin,52.4805676,13.3307451,04501153
4091790,Kinder - Land in Sicht,+49308731846,25,Eltern-Initiativ-Kindertagesstätte,1103,Kinder - Land in Sicht e. V.,EKT,Babelsberger Straße 43,10715,Berlin,52.4853353,13.3354748,04501153
4091800,Kita Westfälische Straße,+4930860081030,100,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,Westfälische Straße 17,10709,Berlin,52.49313,13.306901185185184,04500939
4091810,Gan Israel II Little Gems,+49302678601,200,Kindertagesstätte,1326,Jüdischer Kindergarten Gan Israel e.V.,Sonstiger freier Träger,Westfälische Straße 15,10709,Berlin,52.4929958,13.30757535329832,04500939
4091820,Kita Tübinger Straße,+493085073767,25,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,Tübinger Straße 1,10715,Berlin,52.4806721,13.3303789,04501153
4091830,Bilby Garden - Internationaler Kindergarten,+4930986520,45,Kindertagesstätte,7869,kids in berlin kib gUG (haftungsbeschränkt),Sonstiger freier Träger,Cunostraße 59,14193,Berlin,52.4875789,13.2966732,04400727
4091840,Kita Trautenaustraße,+4930844488,25,Kindertagesstätte,878,Aventura Nikolsburg KiTa UG (haftungsbeschränkt),Sonstiger freier Träger,Trautenaustraße 18,10717,Berlin,52.4924536,13.3283019,04501149
4091860,Kita Blissestraße,+493054291506,21,Kindertagesstätte,7869,kids in berlin kib gUG (haftungsbeschränkt),Sonstiger freier Träger,Blissestraße 60,10713,Berlin,52.4798579,13.3200941,04501148
