id,name,phone_number,places,type,sponsor_id,sponsor_name,street,zip_code,lat,lon,planning_area_id
1031530,Kita Paradiesvögel Plantagenstraße,+493056978795,60,Reguläre Einrichtung,7464,eventus Bildung gGmbH,Plantagenstr. 9,13347,52.5466656,13.3671925,01401043
1031550,Kita Groninger Straße 34,+493081799940,13,Reguläre Einrichtung,1408,Kita Weiße Wolke e.V.,Groninger Str. 34,13347,52.5537548,13.3618992,01401049
1031560,Kita Rauda,+493081476961,40,Reguläre Einrichtung,7781,Rauda e. V.,Schulstr. 52,13347,52.5529648,13.3703247,01401044
1031570,Kita Paradiesvögel Sparrstraße,+493041997418,25,Reguläre Einrichtung,7464,eventus Bildung gGmbH,Sparrstr. 26,13353,52.5414302,13.3601786,01401047
1031590,Kita Primavera,+493060944034,25,Reguläre Einrichtung,7877,Primavera e. V.,Glasgower Str. 25,13349,52.5562318,13.3433601,01400939
1031610,Kita Zauberwald,+493053164489,22,Reguläre Einrichtung,7518,Märchenreise e. V.,Grüntaler Str. 30,13357,52.5545393,13.3909752,01300733
1031620,Kindergarten Meilenstein,+493064079141,37,Reguläre Einrichtung,7921,Mitte(l)punkt e. V.,Wriezener Str. 43,13359,52.5559970,13.3878860,01300732
1031630,Kindertagesstätte Fiorino,+493068816420,33,Reguläre Einrichtung,7924,FamilienZitadelle gemeinnützige GmbH,Prinzenallee 45C,13359,52.5591903,13.3883266,01300732
1031640,Zwergenstube Auenland,+49304941526,12,Reguläre Einrichtung,532,Arbeitskreis Fidele Pädagogik e.V.,Zingster Str. 8,13357,52.5509708,13.3888624,01300733
1031650,Montessori-Kinderladen Wedding,+493015730135231,25,Reguläre Einrichtung,7991,Montessori-Kinderhaus Wedding e. V.,Eulerstr. 18,13357,52.5533692,13.3904221,01300733
1031680,Kleine RokoKids Kita,+493045947,20,Reguläre Einrichtung,1367,Ki.E.Ka. e.V.,Ofener Str. 3A,13349,52.5558651,13.3450378,01400939
1031690,Kita Der Kleine Muck,+493048478294,36,Reguläre Einrichtung,9315,TIMELA e.V.,Koloniestr. 7,13357,52.5549481,13.3773863,01401045
1031700,EKT Berliner Stadtmäuse,+493015253036039,25,Reguläre Einrichtung,8047,EKT Berliner Stadtmäuse e. V.,Transvaalstr. 20,13351,52.5511980,13.3401100,01400937
1031710,Kita Die kleinen Frösche,+493029685555,17,Reguläre Einrichtung,7424,Kinderland Wedding e.V.,Malplaquetstr. 35,13347,52.5503310,13.3598910,01401048
1031720,Kita Paradiesvögel Stettiner Straße,+493095611311,83,Reguläre Einrichtung,7464,eventus Bildung gGmbH,Stettiner Str. 8,13357,52.5523690,13.3852416,01300733
