latlon,planning_area_id
52.50213525_13.38974932230884,02100102
52.4944698_13.4295259,02300418
52.4860104_13.3930128,02200211
52.50423255_13.394288261633726,02100102
52.4905855_13.4225367,02200213
52.4941593_13.4188143,02200213
52.5017539_13.419374840150454,02300314
52.50442335_13.422139823569648,02300314
52.4956867_13.41564338187229,02100106
52.5047833_13.423592466857496,02300314
52.5003488_13.3860607,02100101
52.493804_13.4346621,02300418
52.4939157_13.4174848,02200213
52.4889905_13.4105101,02200212
52.5008878_13.3977802,02100105
52.4885241_13.4197195,02200212
52.4929721_13.4075946,02200210
52.4884656_13.3942754,02200211
52.4867866_13.3904577,02200211
52.5023502_13.4325657,02300316
52.4931636_13.437289,02300418
52.4914472_13.382764,02200209
52.49776745_13.42357125837436,02300417
52.4864359_13.3937892,02200211
52.4907474_13.3921891,02200211
52.4942567_13.4173534,02200213
52.4896875_13.3908749,02200211
52.4953536_13.429757962186043,02300417
52.4885238_13.3745065,02200209
52.490900100000005_13.394498405318306,02200211
52.486589_13.3956696,02200211
52.4887367_13.4142378,02200212
52.5058538_13.39482954806841,02100102
52.494748_13.418794869865822,02200213
52.494424_13.4386048,02300418
52.4932916_13.434054724842518,02300418
52.50614025_13.408842797062244,02100104
52.5004704_13.4335489,02300315
52.49219_13.4174729,02200213
52.5025993_13.3886421,02100102
52.488982_13.4004273,02200211
52.5016518_13.4313076,02300315
52.492725_13.4388321,02300418
52.4970727_13.4320998,02300418
52.4897768_13.3879673,02200211
52.5002466_13.3896754,02100102
52.5076069_13.3944985,02100102
52.5033501_13.4046237,02100104
52.4972483_13.4432989,02300419
52.4988068_13.426834238715092,02300417
52.5005705_13.3868708,02100101
52.5027549_13.3875385,02100101
52.4912883_13.4083287,02200212
52.5030552_13.4099973,02100104
52.4936353_13.4360931,02300418
52.4940112_13.4318251,02300418
52.4946364_13.3801947,02200208
52.5041454_13.3860072,02100101
52.4978532_13.4386689,02300419
52.4942538_13.4287556,02300417
52.4897578_13.3769873,02200209
52.4896784_13.3884205,02200211
52.4965553_13.3800081,02200208
52.4918952_13.4138148,02200213
52.5054146_13.420044661903647,02300314
52.5027248_13.3724834,02200207
52.502116650000005_13.383312331358564,02100101
52.4855482_13.37434103404447,02200209
52.4924542_13.3764908,02200207
52.5019184_13.4299127,02300315
52.4913628_13.4036579,02200210
52.5041224_13.4354292,02300316
52.4935069_13.400050173794751,02200210
52.5078107_13.3975324,02100102
52.5078483_13.3951883,02100102
52.52397_13.4573405,03601453
52.52903315_13.42804068563786,03701660
52.5321895_13.418081172084442,03701556
52.5316007_13.445349018742236,03601452
52.5498924_13.4050458,03601140
52.53966675_13.427917109895064,03701657
52.5464943_13.4104559,03601142
52.5515477_13.4056148,03601140
52.5405959_13.4076351,03701554
52.5204446_13.46023957116105,03601453
52.551166_13.419207,03601243
52.5363128_13.4066408,03701554
52.5388763_13.4300558,03701657
52.5477102_13.4223766,03601244
52.5322517_13.4381015,03701660
52.5357978_13.428439766123706,03701658
52.5359216_13.4387464,03601451
52.5340953_13.418055207053351,03701556
52.5310214_13.4130622,03701556
52.5449235_13.4187126,03601347
52.5475048_13.442758,03601245
52.5527499_13.409339197856433,03601141
52.5406427_13.44450287182261,03601449
52.5482933_13.430778262074307,03601245
52.5402877_13.406304108997304,03701554
52.5280219_13.4212993,03701659
52.5497007_13.419817131131,03601243
52.5517017_13.4204447,03601243
52.5430892_13.4199499,03601347
52.5339627_13.4283376578908,03701658
52.53473735_13.41086598389166,03701554
52.5500234_13.4105411,03601141
52.5429696_13.4214066,03601348
52.5494698_13.421136,03601243
52.5548853_13.4091193,03601139
52.5325459_13.456732,03601450
52.5433956_13.4456113,03601449
52.55169215_13.40686856915296,03601141
52.5324533_13.4099252,03701554
52.5280046_13.449447545858586,03601452
52.5508527_13.406725532435658,03601141
52.5406933_13.4207206,03601348
52.5445845_13.4147308,03601346
52.5331595_13.4214224308521,03701659
52.5541973_13.4144416,03601139
52.534826_13.4264393,03701658
52.53580345_13.40994518420737,03701554
52.5465652_13.4071616,03601142
52.53531885_13.409663366793762,03701554
52.5439104_13.4222536,03601348
52.5423191_13.41578,03601347
52.5363352_13.4257272,03701658
52.5473127_13.4063567,03601142
52.5371389_13.4151334,03701555
52.54688755_13.419793431854362,03601347
52.5303099_13.4103725,03701554
52.5386489_13.408350624319668,03701554
52.5307993_13.4340859,03701660
52.5335785_13.4335979,03701660
52.5467716_13.4152702,03601346
52.5325762_13.4141881,03701556
52.5388399_13.4165038,03701555
52.5463908_13.4207704,03601347
52.5453803_13.4196371,03601347
52.5438525_13.4196946,03601347
52.5319849_13.4364786,03701660
52.5455086_13.4208903,03601347
52.5295874_13.4317243,03701660
52.546397_13.4075898,03601142
52.5312635_13.4356664,03701660
52.5410531_13.4167738,03601347
52.5414032_13.4171473,03601347
52.54872295_13.408530779350375,03601142
52.5364921_13.4292088,03701658
52.5437021_13.4184916,03601347
52.5478677_13.4421242,03601245
52.5400987_13.4497264,03601449
52.54344155_13.45485364980462,03601449
52.5317849_13.4310037,03701660
52.5444311_13.4341582,03601245
52.53019515_13.433055175996316,03701660
52.5376808_13.4176996,03701555
52.5311485_13.4230406,03701659
52.5483645_13.4017065,03601142
52.5202388_13.461453648355889,03601453
52.5336973_13.4193345,03701556
52.537255_13.4249084,03701658
52.5468924_13.4031714,03601142
52.5332737_13.432684315862042,03701660
52.5477057_13.4019369,03601142
52.5468424_13.4026323,03601142
52.5479811_13.4228651,03601244
52.5498971_13.4120615,03601141
52.53001225_13.435498709086648,03701660
52.5516254_13.4188759,03601243
52.5506652_13.4115411,03601141
52.5359958_13.4312125,03701658
52.5341961_13.4322389,03701660
52.5407433_13.4189533,03601348
52.5525925_13.4196963,03601243
52.5524674_13.4109541,03601141
52.5411547_13.4214305,03601348
52.5361495_13.4181581,03701556
52.5310621_13.4249063,03701659
52.5450023_13.4232403,03601348
52.5414794_13.4224061,03601348
52.5231942_13.4562113,03601453
52.5458246_13.4194843,03601347
52.5467451_13.4127906,03601142
52.5400531_13.4323217,03701657
52.5308215_13.4229386,03701659
52.5450173_13.4235806,03601348
52.5309215_13.409481,03701554
52.5411398_13.4490975608589,03601449
52.5527505_13.4049252,03601140
52.5459818_13.410788803594802,03601142
52.5352304_13.4371664,03601451
52.5245836_13.4569639,03601453
52.5435161_13.4214484,03601347
52.5417858_13.4170585,03601347
52.5478538_13.4038839,03601142
52.5321315_13.4337319,03701660
52.5317979_13.4232134,03701659
52.54465305_13.435138098666098,03601245
52.5482903_13.4229413,03601244
52.5491538_13.4242008,03601244
52.5312395_13.4254323,03701659
52.5526518_13.4106063,03601141
52.5469832_13.4071078,03601142
52.5527488_13.4194445,03601243
52.5544497_13.4101596,03601139
52.5201557_13.464193,03601453
52.5348887_13.4442591,03601451
52.53523845_13.427880728506103,03701658
52.5506443_13.4104666,03601141
52.5374603_13.4263884,03701658
52.5476022_13.4030016,03601142
52.5544713_13.4097476,03601139
52.5283982_13.4476065,03601452
52.5394569_13.4256909,03701657
52.5289936_13.4134923,03701556
52.5256034_13.4549236,03601453
52.54711065_13.419289385977702,03601347
52.535609_13.4296924,03701658
52.5486282_13.4160273,03601346
52.5439364_13.4218248,03601347
52.5552084_13.4041391,03601139
52.5348484_13.430037,03701658
52.5336111_13.4364551,03701660
52.52421405_13.459971982590794,03601453
52.5545461_13.4059093,03601139
52.55337715_13.413524705468715,03601141
52.5297719_13.4338781,03701660
52.5348997_13.450265000000003,03601450
52.5507266_13.410718,03601141
52.5306392_13.4318966,03701660
52.5371041_13.420774,03701555
52.5268211_13.4560081,03601453
52.62152655_13.48764120803843,03300411
52.6127894_13.4732357,03300412
52.5587873_13.4342283,03300516
52.5566518_13.471478,03501037
52.5553263_13.4305157,03500934
52.5515257_13.4736482,03501038
52.5546557_13.4726879,03501037
52.5474114_13.462986146435563,03500936
52.5566413_13.4648347,03500933
52.5596453_13.4635081,03501037
52.5481665_13.462843,03500936
