combined_address,geometry,address
Otto-von-Bismarck-Allee 2 10557 Berlin,POINT (13.3751759 52.521153),"2, Otto-von-Bismarck-Allee, 10557, Otto-von-Bismarck-Allee, Berlin, Deutschland"
Quitzowstraße 136 10559 Berlin,POINT (13.3515648 52.5351854),"136, Quitzowstraße, 10559, Quitzowstraße, Berlin, Deutschland"
Lehrter Straße 40 10557 Berlin,POINT (13.3585958 52.5349172),"40, Lehrter Straße, 10557, Lehrter Straße, Berlin, Deutschland"
Stephanstraße 17 10559 Berlin,POINT (13.3496512 52.5342628),"17, Stephanstraße, 10559, Stephanstraße, Berlin, Deutschland"
Wilsnacker Straße 14 10559 Berlin,POINT (13.3516191 52.5276777),"14, Wilsnacker Straße, 10559, Wilsnacker Straße, Berlin, Deutschland"
Rostocker Straße 26 10553 Berlin,POINT (13.3267507 52.531918),"26, Rostocker Straße, 10553, Rostocker Straße, Berlin, Deutschland"
Bochumer Straße 11 10555 Berlin,POINT (13.338127002452026 52.5218443),"11, Bochumer Straße, 10555, Bochumer Straße, Berlin, Deutschland"
Stromstraße 58 10551 Berlin,POINT (13.3430509 52.5275493),"58, Stromstraße, 10551, Stromstraße, Berlin, Deutschland"
Flemingstraße 11 10557 Berlin,POINT (13.356853 52.5207847),"11, Flemingstraße, 10557, Flemingstraße, Berlin, Deutschland"
Waldstraße 15 10551 Berlin,POINT (13.3314796 52.529973),"15, Waldstraße, 10551, Waldstraße, Berlin, Deutschland"
Calvinstraße 13 10557 Berlin,POINT (13.351301 52.5217371),"13, Calvinstraße, 10557, Calvinstraße, Berlin, Deutschland"
Wilsnacker Straße 62 10559 Berlin,POINT (13.3514102 52.5272998),"62, Wilsnacker Straße, 10559, Wilsnacker Straße, Berlin, Deutschland"
Lübecker Straße 13 10559 Berlin,POINT (13.3455021 52.5285385),"13, Lübecker Straße, 10559, Lübecker Straße, Berlin, Deutschland"
Quitzowstraße 125 10559 Berlin,POINT (13.3486962 52.5348621),"125, Quitzowstraße, 10559, Quitzowstraße, Berlin, Deutschland"
Emdener Straße 28 10551 Berlin,POINT (13.3347329 52.5323497),"28, Emdener Straße, 10551, Emdener Straße, Berlin, Deutschland"
Huttenstraße 22 10553 Berlin,POINT (13.3185903 52.5286718),"22, Huttenstraße, 10553, Huttenstraße, Berlin, Deutschland"
Lützowstraße 61 10785 Berlin,POINT (13.355246725096585 52.50445015),"Kita Lützowstraße, 61a, Lützowstraße, 10785, Lützowstraße, Berlin, Deutschland"
Lüneburger Straße 14 10557 Berlin,POINT (13.357688300465055 52.52041855),"Kita Lüneburger Straße, 14, Lüneburger Straße, 10557, Lüneburger Straße, Berlin, Deutschland"
Huttenstraße 31 10553 Berlin,POINT (13.315425 52.5295199),"31, Huttenstraße, 10553, Huttenstraße, Berlin, Deutschland"
Lübecker Straße 32 10559 Berlin,POINT (13.3447714 52.5302075),"32, Lübecker Straße, 10559, Lübecker Straße, Berlin, Deutschland"
Katharina-Heinroth-Ufer 1 10787 Berlin,POINT (13.3443759 52.5078772),"1, Katharina-Heinroth-Ufer, 10787, Katharina-Heinroth-Ufer, Berlin, Deutschland"
Bissingzeile 1519 10785 Berlin,POINT (13.3692782 52.5036685),"Bissingzeile, 10785, Berlin, Deutschland"
Emdener Straße 47 10551 Berlin,POINT (13.333752493571874 52.529856249999995),"47, Emdener Straße, 10551, Emdener Straße, Berlin, Deutschland"
Alt-Moabit 133B 10557 Berlin,POINT (13.360715604743186 52.52240885),"Kinderhaus Moabit, 133b, Alt-Moabit, 10557, Alt-Moabit, Berlin, Deutschland"
Waldstraße 42 10551 Berlin,POINT (13.3310892 52.5305532),"42, Waldstraße, 10551, Waldstraße, Berlin, Deutschland"
Birkenstraße 33 10551 Berlin,POINT (13.3409226 52.5325842),"33, Birkenstraße, 10551, Birkenstraße, Berlin, Deutschland"
Bochumer Straße 2 10555 Berlin,POINT (13.337619813880607 52.524576749999994),"2, Bochumer Straße, 10555, Bochumer Straße, Berlin, Deutschland"
Hansa-Ufer 3 10555 Berlin,POINT (13.3366464 52.5191095),"3, Hansa-Ufer, 10555, Hansa-Ufer, Berlin, Deutschland"
Lützowplatz 1 10785 Berlin,POINT (13.354031055280494 52.5050578),"Haus Lützowplatz 1, 1, Lützowplatz, 10785, Lützowplatz, Berlin, Deutschland"
Siemensstraße 10 10551 Berlin,POINT (13.3323498 52.5326722),"10, Siemensstraße, 10551, Siemensstraße, Berlin, Deutschland"
Waldstraße 23 10551 Berlin,POINT (13.3318778 52.5315606),"23, Waldstraße, 10551, Waldstraße, Berlin, Deutschland"
Siegmunds Hof 17 10555 Berlin,POINT (13.335315895364111 52.515529900000004),"Kita an der UdK und TU Berlin, 17A, Siegmunds Hof, 10555, Siegmunds Hof, Berlin, Deutschland"
Lützowstraße 106 10785 Berlin,POINT (13.3694003 52.5019992),"106, Lützowstraße, 10785, Lützowstraße, Berlin, Deutschland"
